"period","respondent","respondent.name","type.name","value","value.units","date","hour","year","month","dayofweek","BGE_Rebate"
"2020-01-02T04","PJM","PJM Interconnection, LLC","Demand",87261,"megawatthours",2020-01-02,4,2020,1,"Thursday",0
"2020-01-02T03","PJM","PJM Interconnection, LLC","Demand",90448,"megawatthours",2020-01-02,3,2020,1,"Thursday",0
"2020-01-02T02","PJM","PJM Interconnection, LLC","Demand",92394,"megawatthours",2020-01-02,2,2020,1,"Thursday",0
"2020-01-02T01","PJM","PJM Interconnection, LLC","Demand",92863,"megawatthours",2020-01-02,1,2020,1,"Thursday",0
"2020-01-02T00","PJM","PJM Interconnection, LLC","Demand",92670,"megawatthours",2020-01-02,0,2020,1,"Thursday",0
"2020-01-03T23","PJM","PJM Interconnection, LLC","Demand",94062,"megawatthours",2020-01-03,23,2020,1,"Friday",0
"2020-01-03T22","PJM","PJM Interconnection, LLC","Demand",91087,"megawatthours",2020-01-03,22,2020,1,"Friday",0
"2020-01-03T21","PJM","PJM Interconnection, LLC","Demand",89635,"megawatthours",2020-01-03,21,2020,1,"Friday",0
"2020-01-03T20","PJM","PJM Interconnection, LLC","Demand",89973,"megawatthours",2020-01-03,20,2020,1,"Friday",0
"2020-01-03T19","PJM","PJM Interconnection, LLC","Demand",90615,"megawatthours",2020-01-03,19,2020,1,"Friday",0
"2020-01-03T18","PJM","PJM Interconnection, LLC","Demand",90911,"megawatthours",2020-01-03,18,2020,1,"Friday",0
"2020-01-03T17","PJM","PJM Interconnection, LLC","Demand",91203,"megawatthours",2020-01-03,17,2020,1,"Friday",0
"2020-01-03T16","PJM","PJM Interconnection, LLC","Demand",91187,"megawatthours",2020-01-03,16,2020,1,"Friday",0
"2020-01-03T15","PJM","PJM Interconnection, LLC","Demand",90900,"megawatthours",2020-01-03,15,2020,1,"Friday",0
"2020-01-03T14","PJM","PJM Interconnection, LLC","Demand",90507,"megawatthours",2020-01-03,14,2020,1,"Friday",0
"2020-01-03T13","PJM","PJM Interconnection, LLC","Demand",89072,"megawatthours",2020-01-03,13,2020,1,"Friday",0
"2020-01-03T12","PJM","PJM Interconnection, LLC","Demand",84601,"megawatthours",2020-01-03,12,2020,1,"Friday",0
"2020-01-03T11","PJM","PJM Interconnection, LLC","Demand",78840,"megawatthours",2020-01-03,11,2020,1,"Friday",0
"2020-01-03T10","PJM","PJM Interconnection, LLC","Demand",76789,"megawatthours",2020-01-03,10,2020,1,"Friday",0
"2020-01-03T09","PJM","PJM Interconnection, LLC","Demand",76560,"megawatthours",2020-01-03,9,2020,1,"Friday",0
"2020-01-03T08","PJM","PJM Interconnection, LLC","Demand",76671,"megawatthours",2020-01-03,8,2020,1,"Friday",0
"2020-01-03T07","PJM","PJM Interconnection, LLC","Demand",77009,"megawatthours",2020-01-03,7,2020,1,"Friday",0
"2020-01-03T06","PJM","PJM Interconnection, LLC","Demand",78594,"megawatthours",2020-01-03,6,2020,1,"Friday",0
"2020-01-03T05","PJM","PJM Interconnection, LLC","Demand",82238,"megawatthours",2020-01-03,5,2020,1,"Friday",0
"2020-01-03T04","PJM","PJM Interconnection, LLC","Demand",85980,"megawatthours",2020-01-03,4,2020,1,"Friday",0
"2020-01-03T03","PJM","PJM Interconnection, LLC","Demand",90310,"megawatthours",2020-01-03,3,2020,1,"Friday",0
"2020-01-03T02","PJM","PJM Interconnection, LLC","Demand",93873,"megawatthours",2020-01-03,2,2020,1,"Friday",0
"2020-01-03T01","PJM","PJM Interconnection, LLC","Demand",96116,"megawatthours",2020-01-03,1,2020,1,"Friday",0
"2020-01-03T00","PJM","PJM Interconnection, LLC","Demand",97826,"megawatthours",2020-01-03,0,2020,1,"Friday",0
"2020-01-04T23","PJM","PJM Interconnection, LLC","Demand",90329,"megawatthours",2020-01-04,23,2020,1,"Saturday",0
