"","Date","Company","EVs","EVTOURebate"
"96",2022-02-01,"Baltimore Gas & Electric Co",18475,1
"97",2022-02-01,"Delmarva Power",1463,1
"98",2022-02-01,"Potomac Electric Power Co",13191,0
"99",2022-02-01,"Southern Maryland Electric Cooperative Inc.",1344,1
"100",2022-02-01,"The Potomac Edison Company",3551,1
"101",2022-03-01,"Baltimore Gas & Electric Co",19187,1
"102",2022-03-01,"Delmarva Power",1532,1
"103",2022-03-01,"Potomac Electric Power Co",13653,0
"104",2022-03-01,"Southern Maryland Electric Cooperative Inc.",1379,1
"105",2022-03-01,"The Potomac Edison Company",3663,1
"106",2022-04-01,"Baltimore Gas & Electric Co",20153,1
"107",2022-04-01,"Delmarva Power",1573,1
"108",2022-04-01,"Potomac Electric Power Co",14066,0
"109",2022-04-01,"Southern Maryland Electric Cooperative Inc.",1433,1
"110",2022-04-01,"The Potomac Edison Company",3795,1
"111",2022-05-01,"Baltimore Gas & Electric Co",20691,1
"112",2022-05-01,"Delmarva Power",1627,1
"113",2022-05-01,"Potomac Electric Power Co",14390,0
"114",2022-05-01,"Southern Maryland Electric Cooperative Inc.",1483,1
"115",2022-05-01,"The Potomac Edison Company",3913,1
"116",2022-06-01,"Baltimore Gas & Electric Co",21716,1
"117",2022-06-01,"Delmarva Power",1699,1
"118",2022-06-01,"Potomac Electric Power Co",15066,0
"119",2022-06-01,"Southern Maryland Electric Cooperative Inc.",1560,1
"120",2022-06-01,"The Potomac Edison Company",4164,1
"121",2022-07-01,"Baltimore Gas & Electric Co",22045,1
"122",2022-07-01,"Delmarva Power",1740,1
"123",2022-07-01,"Potomac Electric Power Co",15253,0
"124",2022-07-01,"Southern Maryland Electric Cooperative Inc.",1605,1
"125",2022-07-01,"The Potomac Edison Company",4241,1
"126",2022-08-01,"Baltimore Gas & Electric Co",22717,1
"127",2022-08-01,"Delmarva Power",1794,1
"128",2022-08-01,"Potomac Electric Power Co",15650,0
"129",2022-08-01,"Southern Maryland Electric Cooperative Inc.",1651,1
"130",2022-08-01,"The Potomac Edison Company",4355,1
"131",2022-09-01,"Baltimore Gas & Electric Co",23349,1
"132",2022-09-01,"Delmarva Power",1842,1
"133",2022-09-01,"Potomac Electric Power Co",16175,0
"134",2022-09-01,"Southern Maryland Electric Cooperative Inc.",1692,1
"135",2022-09-01,"The Potomac Edison Company",4494,1
"136",2022-10-01,"Baltimore Gas & Electric Co",23920,1
"137",2022-10-01,"Delmarva Power",1872,1
"138",2022-10-01,"Potomac Electric Power Co",16561,0
"139",2022-10-01,"Southern Maryland Electric Cooperative Inc.",1740,1
"140",2022-10-01,"The Potomac Edison Company",4650,1
"141",2022-11-01,"Baltimore Gas & Electric Co",25060,1
"142",2022-11-01,"Delmarva Power",1975,1
"143",2022-11-01,"Potomac Electric Power Co",17282,1
"144",2022-11-01,"Southern Maryland Electric Cooperative Inc.",1861,1
"145",2022-11-01,"The Potomac Edison Company",4858,1
"146",2022-12-01,"Baltimore Gas & Electric Co",26061,1
"147",2022-12-01,"Delmarva Power",2053,1
"148",2022-12-01,"Potomac Electric Power Co",17850,1
"149",2022-12-01,"Southern Maryland Electric Cooperative Inc.",1913,1
"150",2022-12-01,"The Potomac Edison Company",5031,1
"151",2023-01-01,"Baltimore Gas & Electric Co",26851,1
"152",2023-01-01,"Delmarva Power",2081,1
"153",2023-01-01,"Potomac Electric Power Co",18311,1
"154",2023-01-01,"Southern Maryland Electric Cooperative Inc.",1950,1
"155",2023-01-01,"The Potomac Edison Company",5200,1
"156",2023-02-01,"Baltimore Gas & Electric Co",27721,1
"157",2023-02-01,"Delmarva Power",2137,1
